Box_xDev Box_yDev Box_zDev Box_RotxDev Box_RotyDev Box_RotzDev Pin_xDev Pin_yDev Pin_zDev Pin_RotxDev Pin_RotyDev Pin_RotzDev
4.82564 5.23771 0.133605 0.0108231 -0.0192108 0.0171746 4.97917 6.61352 0.393381 0.00157606 -0.000882152 4.57121e-05
4.81917 5.24436 0.116536 0.00631268 -0.0278151 0.0157821 4.96209 6.62359 0.416833 -0.000517894 0.000989158 -0.0024749
4.82605 5.24241 0.0751365 0.0130016 -0.0291542 0.0165655 4.99963 6.59694 0.402922 0.000950247 0.000316452 0.00253521
4.82637 5.23979 0.0997198 0.00741587 -0.0302168 0.0166598 4.99065 6.60283 0.40863 -0.000945837 -0.00135408 0.00119454
4.84472 5.21887 0.193958 -0.00154027 -0.0205265 0.0208804 4.98169 6.6034 0.435183 -0.00243938 0.00212798 0.000103291
4.85413 5.21007 0.193674 -0.00512201 -0.0245541 0.022471 4.97735 6.60998 0.411485 -0.00105992 -0.000826571 -0.00113794
4.86483 5.19439 0.226641 -0.00584745 -0.0185119 0.0248506 5.00072 6.59935 0.378038 0.00401804 -0.000667658 0.00158097
4.87796 5.18601 0.245511 -0.00397626 -0.012302 0.0276111 5.00675 6.59233 0.413674 -0.00268759 -0.00280712 0.00229015
4.88878 5.17222 0.278489 -0.0116895 -0.0139147 0.030036 4.98288 6.60356 0.427953 -0.00157336 0.00189721 -0.00108217
4.88342 5.17719 0.270171 -0.0112276 -0.0151914 0.0290128 5.01054 6.58615 0.417317 -0.000273589 0.00146177 0.00290586
4.87678 5.18444 0.263372 -0.00832382 -0.0131929 0.02758 5.0069 6.59201 0.399308 0.000679892 -0.000861317 0.0016168
4.87608 5.18929 0.216994 -0.00160348 -0.0153556 0.0274282 4.99548 6.59648 0.43289 -0.00450365 -0.00137076 -0.000243024
4.876 5.1903 0.261299 0.000982587 -0.00296467 0.027733 4.97623 6.61152 0.396693 0.00361707 0.0026867 -0.00307295
